Model,Graph,param_id,Hyperparameter 1,Hyperparameter 2,Mean rel. gap (%),Median rel. gap (%),Min rel. gap (%),Std rel. gap (%),Success rate (%)
NEC,G1,ar1.00e-02_rt2.6_ia-mu_max_gpf1.8,gamma_factor=1.80,r_target=2.60,3.32,3.29,3.12,0.11,0.00
NEC,G2,ar1.00e-02_rt2.6_ia-mu_max_gpf0.4,gamma_factor=0.40,r_target=2.60,3.32,3.28,3.28,0.12,0.00
NEC,G3,ar1.00e-02_rt2.0_ia-mu_max_gpf1.2000000000000002,gamma_factor=1.20,r_target=2.00,3.24,3.21,3.17,0.08,0.00
NEC,G4,ar1.00e-02_rt2.2_ia-mu_max_gpf0.6000000000000001,gamma_factor=0.60,r_target=2.20,3.15,3.15,3.15,0.04,0.00
NEC,G5,ar1.00e-02_rt1.8_ia-mu_max_gpf0.8,gamma_factor=0.80,r_target=1.80,3.35,3.32,3.21,0.12,0.00
Polynomial PM,G1,"po9_blin(1/mu_max, 1/mu_max + 2)_gf0.55",poly_order=9.00,gamma_factor=0.55,3.66,3.66,3.22,0.18,0.00
Polynomial PM,G2,"po10_blin(1/mu_max, 1/mu_max + 2)_gf0.55",poly_order=10.00,gamma_factor=0.55,3.64,3.64,3.18,0.18,0.00
Polynomial PM,G3,"po8_blin(1/mu_max, 1/mu_max + 2)_gf0.75",poly_order=8.00,gamma_factor=0.75,3.55,3.52,3.12,0.20,0.00
Polynomial PM,G4,"po10_blin(1/mu_max, 1/mu_max + 2)_gf0.2",poly_order=10.00,gamma_factor=0.20,3.57,3.56,3.21,0.17,0.00
Polynomial PM,G5,"po9_blin(1/mu_max, 1/mu_max + 2)_gf0.55",poly_order=9.00,gamma_factor=0.55,3.63,3.62,3.16,0.19,0.00
Reference IM,G1,"a-50.0_Bnv220.0_z0.75_blin(0,0.02)",B_num_vertices=220.00,zeta=0.75,0.18,0.19,0.02,0.06,0.00
Reference IM,G2,"a-50.0_Bnv220.0_z0.75_blin(0,0.02)",B_num_vertices=220.00,zeta=0.75,0.19,0.20,0.04,0.06,0.00
Reference IM,G3,"a-50.0_Bnv220.0_z0.75_blin(0,0.02)",B_num_vertices=220.00,zeta=0.75,0.17,0.17,0.05,0.06,0.00
Reference IM,G4,"a-50.0_Bnv220.0_z0.75_blin(0,0.02)",B_num_vertices=220.00,zeta=0.75,0.18,0.18,0.05,0.05,0.00
Reference IM,G5,"a-50.0_Bnv220.0_z0.75_blin(0,0.02)",B_num_vertices=220.00,zeta=0.75,0.18,0.18,0.04,0.06,0.00
Sigmoid PM,G1,"a-50.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf0.30000000000000004",gamma_factor=0.30,alpha=-50.00,3.49,3.49,3.49,0.00,0.00
Sigmoid PM,G2,"a-50.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf1.1",gamma_factor=1.10,alpha=-50.00,3.43,3.43,3.43,0.00,0.00
Sigmoid PM,G3,"a-30.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf1.0",gamma_factor=1.00,alpha=-30.00,3.28,3.28,3.28,0.03,0.00
Sigmoid PM,G4,"a-30.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf1.2000000000000002",gamma_factor=1.20,alpha=-30.00,3.32,3.32,3.32,0.00,0.00
Sigmoid PM,G5,"a-30.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf0.30000000000000004",gamma_factor=0.30,alpha=-30.00,3.29,3.29,3.29,0.00,0.00
q-PDC,G1,po2*num_states - 1_bconst(1/(1+num_edges/num_vertices))_gpf10.0,gamma_factor=10.00,,6.02,5.99,5.33,0.27,0.00
q-PDC,G2,po2*num_states - 1_bconst(1/(1+num_edges/num_vertices))_gpf38.0,gamma_factor=38.00,,6.02,6.00,5.38,0.35,0.00
q-PDC,G3,po2*num_states - 1_bconst(1/(1+num_edges/num_vertices))_gpf12.0,gamma_factor=12.00,,6.05,5.97,5.43,0.33,0.00
q-PDC,G4,po2*num_states - 1_bconst(1/(1+num_edges/num_vertices))_gpf10.0,gamma_factor=10.00,,5.98,5.96,5.30,0.37,0.00
q-PDC,G5,po2*num_states - 1_bconst(1/(1+num_edges/num_vertices))_gpf24.0,gamma_factor=24.00,,6.06,6.02,5.26,0.31,0.00
q-SHIL,G1,"glin(0,10.0)",,,3.69,3.69,3.29,0.18,0.00
q-SHIL,G2,"glin(0,10.0)",,,3.68,3.68,3.22,0.15,0.00
q-SHIL,G3,"glin(0,10.0)",,,3.65,3.66,3.25,0.17,0.00
q-SHIL,G4,"glin(0,10.0)",,,3.66,3.66,3.23,0.19,0.00
q-SHIL,G5,"glin(0,10.0)",,,3.67,3.68,3.07,0.17,0.00
