Found 5 graph files
Generated 104000 tasks

================================================================================
WALL TIME ESTIMATE
--------------------------------------------------------------------------------
Tasks                : 104,000
Total steps          : 104,000,000,000
Ranks for estimate   : 128
Steps per rank       : 812,500,000
Time per step        : 150 µs (assumed)
Expected runtime     : 1 day, 9:51:15
--------------------------------------------------------------------------------
BREAKDOWN BY MODEL TYPE
--------------------------------------------------------------------------------
POLYNOMIAL      : 104,000 tasks | 104,000,000,000 steps (100.0%) | ~1 day, 9:51:15
================================================================================

Rank 0: Processing 813 tasks
Rank 20: Processing 813 tasks
Rank 2: Processing 813 tasks
Rank 28: Processing 813 tasks
Rank 18: Processing 813 tasks
Rank 16: Processing 813 tasks
Rank 12: Processing 813 tasks
Rank 17: Processing 813 tasks
Rank 1: Processing 813 tasks
Rank 22: Processing 813 tasks
Rank 25: Processing 813 tasks
Rank 26: Processing 813 tasks
Rank 30: Processing 813 tasks
Rank 21: Processing 813 tasks
Rank 9: Processing 813 tasks
Rank 10: Processing 813 tasks
Rank 23: Processing 813 tasks
Rank 14: Processing 813 tasks
Rank 6: Processing 813 tasks
Rank 8: Processing 813 tasks
Rank 13: Processing 813 tasks
Rank 29: Processing 813 tasks
Rank 5: Processing 813 tasks
Rank 19: Processing 813 tasks
Rank 31: Processing 813 tasks
Rank 11: Processing 813 tasks
Rank 7: Processing 813 tasks
Rank 27: Processing 813 tasks
Rank 15: Processing 813 tasks
Rank 4: Processing 813 tasks
Rank 3: Processing 813 tasks
Rank 24: Processing 813 tasks
Rank 88: Processing 812 tasks
Rank 96: Processing 812 tasks
Rank 90: Processing 812 tasks
Rank 112: Processing 812 tasks
Rank 84: Processing 812 tasks
Rank 104: Processing 812 tasks
Rank 44: Processing 813 tasks
Rank 82: Processing 812 tasks
Rank 106: Processing 812 tasks
Rank 49: Processing 813 tasks
Rank 81: Processing 812 tasks
Rank 116: Processing 812 tasks
Rank 54: Processing 813 tasks
Rank 85: Processing 812 tasks
Rank 108: Processing 812 tasks
Rank 36: Processing 813 tasks
Rank 92: Processing 812 tasks
Rank 114: Processing 812 tasks
Rank 48: Processing 813 tasks
Rank 83: Processing 812 tasks
Rank 100: Processing 812 tasks
Rank 41: Processing 813 tasks
Rank 86: Processing 812 tasks
Rank 120: Processing 812 tasks
Rank 57: Processing 813 tasks
Rank 73: Processing 812 tasks
Rank 118: Processing 812 tasks
Rank 56: Processing 813 tasks
Rank 93: Processing 812 tasks
Rank 98: Processing 812 tasks
Rank 32: Processing 813 tasks
Rank 94: Processing 812 tasks
Rank 99: Processing 812 tasks
Rank 60: Processing 813 tasks
Rank 66: Processing 812 tasks
Rank 124: Processing 812 tasks
Rank 42: Processing 813 tasks
Rank 80: Processing 812 tasks
Rank 115: Processing 812 tasks
Rank 62: Processing 813 tasks
Rank 69: Processing 812 tasks
Rank 102: Processing 812 tasks
Rank 34: Processing 813 tasks
Rank 72: Processing 812 tasks
Rank 97: Processing 812 tasks
Rank 52: Processing 813 tasks
Rank 95: Processing 812 tasks
Rank 109: Processing 812 tasks
Rank 40: Processing 813 tasks
Rank 64: Processing 812 tasks
Rank 110: Processing 812 tasks
Rank 61: Processing 813 tasks
Rank 89: Processing 812 tasks
Rank 101: Processing 812 tasks
Rank 37: Processing 813 tasks
Rank 70: Processing 812 tasks
Rank 119: Processing 812 tasks
Rank 50: Processing 813 tasks
Rank 78: Processing 812 tasks
Rank 125: Processing 812 tasks
Rank 45: Processing 813 tasks
Rank 65: Processing 812 tasks
Rank 126: Processing 812 tasks
Rank 53: Processing 813 tasks
Rank 76: Processing 812 tasks
Rank 103: Processing 812 tasks
Rank 46: Processing 813 tasks
Rank 74: Processing 812 tasks
Rank 123: Processing 812 tasks
Rank 55: Processing 813 tasks
Rank 71: Processing 812 tasks
Rank 117: Processing 812 tasks
Rank 58: Processing 813 tasks
Rank 77: Processing 812 tasks
Rank 113: Processing 812 tasks
Rank 39: Processing 813 tasks
Rank 68: Processing 812 tasks
Rank 105: Processing 812 tasks
Rank 51: Processing 813 tasks
Rank 75: Processing 812 tasks
Rank 121: Processing 812 tasks
Rank 47: Processing 813 tasks
Rank 67: Processing 812 tasks
Rank 127: Processing 812 tasks
Rank 63: Processing 813 tasks
Rank 87: Processing 812 tasks
Rank 122: Processing 812 tasks
Rank 59: Processing 813 tasks
Rank 91: Processing 812 tasks
Rank 111: Processing 812 tasks
Rank 33: Processing 813 tasks
Rank 79: Processing 812 tasks
Rank 107: Processing 812 tasks
Rank 35: Processing 813 tasks
Rank 43: Processing 813 tasks
Rank 38: Processing 813 tasks
Rank 6: Completed 1/813 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.1 µs avg, 0.0 µs current
Rank 10: Completed 1/813 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.2 µs avg, 0.0 µs current
Rank 85: Completed 1/812 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.2 µs avg, 0.0 µs current
Rank 55: Completed 1/813 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.3 µs avg, 0.0 µs current
Rank 20: Completed 1/813 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.3 µs avg, 0.0 µs current
Rank 83: Completed 1/812 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.3 µs avg, 0.0 µs current
Rank 107: Completed 1/812 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.3 µs avg, 0.0 µs current
Rank 117: Completed 1/812 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.3 µs avg, 0.0 µs current
Rank 44: Completed 1/813 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.3 µs avg, 0.0 µs current
Rank 110: Completed 1/812 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.3 µs avg, 0.0 µs current
Rank 62: Completed 1/813 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.3 µs avg, 0.0 µs current
Rank 5: Completed 1/813 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.3 µs avg, 0.0 µs current
Rank 39: Completed 1/813 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.3 µs avg, 0.0 µs current
Rank 51: Completed 1/813 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.3 µs avg, 0.0 µs current
Rank 96: Completed 1/812 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.3 µs avg, 0.0 µs current
Rank 119: Completed 1/812 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 28: Completed 1/813 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 97: Completed 1/812 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 23: Completed 1/813 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 31: Completed 1/813 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 36: Completed 1/813 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 100: Completed 1/812 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 115: Completed 1/812 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 76: Completed 1/812 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 7: Completed 1/813 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 17: Completed 1/813 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 68: Completed 1/812 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 121: Completed 1/812 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 71: Completed 1/812 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 123: Completed 1/812 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 19: Completed 1/813 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 105: Completed 1/812 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 42: Completed 1/813 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.5 µs avg, 0.0 µs current
Rank 84: Completed 1/812 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.5 µs avg, 0.0 µs current
Rank 91: Completed 1/812 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.5 µs avg, 0.0 µs current
Rank 52: Completed 1/813 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.5 µs avg, 0.0 µs current
Rank 48: Completed 1/813 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.5 µs avg, 0.0 µs current
Rank 70: Completed 1/812 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.5 µs avg, 0.0 µs current
Rank 47: Completed 1/813 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.6 µs avg, 0.0 µs current
Rank 94: Completed 1/812 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.6 µs avg, 0.0 µs current
Rank 101: Completed 1/812 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.6 µs avg, 0.0 µs current
Rank 77: Completed 1/812 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.6 µs avg, 0.0 µs current
Rank 104: Completed 1/812 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.6 µs avg, 0.0 µs current
Rank 88: Completed 1/812 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.6 µs avg, 0.0 µs current
Rank 13: Completed 1/813 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.6 µs avg, 0.0 µs current
Rank 41: Completed 1/813 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.6 µs avg, 0.0 µs current
Rank 49: Completed 1/813 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.6 µs avg, 0.0 µs current
