Found 5 graph files
Generated 159500 tasks

================================================================================
WALL TIME ESTIMATE
--------------------------------------------------------------------------------
Tasks                : 159,500
Total steps          : 79,750,000,000
Ranks for estimate   : 128
Steps per rank       : 623,046,875
Time per step        : 400 µs (assumed)
Expected runtime     : 2 days, 21:13:38
--------------------------------------------------------------------------------
BREAKDOWN BY MODEL TYPE
--------------------------------------------------------------------------------
NEC             : 159,500 tasks | 79,750,000,000 steps (100.0%) | ~2 days, 21:13:38
================================================================================

Rank 0: Processing 1247 tasks
Rank 8: Processing 1247 tasks
Rank 12: Processing 1246 tasks
Rank 4: Processing 1247 tasks
Rank 10: Processing 1247 tasks
Rank 24: Processing 1246 tasks
Rank 20: Processing 1246 tasks
Rank 13: Processing 1246 tasks
Rank 5: Processing 1247 tasks
Rank 23: Processing 1246 tasks
Rank 22: Processing 1246 tasks
Rank 14: Processing 1246 tasks
Rank 3: Processing 1247 tasks
Rank 16: Processing 1246 tasks
Rank 17: Processing 1246 tasks
Rank 9: Processing 1247 tasks
Rank 28: Processing 1246 tasks
Rank 11: Processing 1247 tasks
Rank 29: Processing 1246 tasks
Rank 6: Processing 1247 tasks
Rank 2: Processing 1247 tasks
Rank 7: Processing 1247 tasks
Rank 30: Processing 1246 tasks
Rank 18: Processing 1246 tasks
Rank 25: Processing 1246 tasks
Rank 27: Processing 1246 tasks
Rank 21: Processing 1246 tasks
Rank 19: Processing 1246 tasks
Rank 31: Processing 1246 tasks
Rank 26: Processing 1246 tasks
Rank 1: Processing 1247 tasks
Rank 15: Processing 1246 tasks
Rank 80: Processing 1246 tasks
Rank 34: Processing 1246 tasks
Rank 74: Processing 1246 tasks
Rank 40: Processing 1246 tasks
Rank 106: Processing 1246 tasks
Rank 90: Processing 1246 tasks
Rank 36: Processing 1246 tasks
Rank 94: Processing 1246 tasks
Rank 32: Processing 1246 tasks
Rank 84: Processing 1246 tasks
Rank 44: Processing 1246 tasks
Rank 65: Processing 1246 tasks
Rank 45: Processing 1246 tasks
Rank 96: Processing 1246 tasks
Rank 88: Processing 1246 tasks
Rank 39: Processing 1246 tasks
Rank 100: Processing 1246 tasks
Rank 87: Processing 1246 tasks
Rank 37: Processing 1246 tasks
Rank 104: Processing 1246 tasks
Rank 82: Processing 1246 tasks
Rank 38: Processing 1246 tasks
Rank 99: Processing 1246 tasks
Rank 86: Processing 1246 tasks
Rank 43: Processing 1246 tasks
Rank 120: Processing 1246 tasks
Rank 76: Processing 1246 tasks
Rank 46: Processing 1246 tasks
Rank 110: Processing 1246 tasks
Rank 92: Processing 1246 tasks
Rank 33: Processing 1246 tasks
Rank 109: Processing 1246 tasks
Rank 89: Processing 1246 tasks
Rank 47: Processing 1246 tasks
Rank 126: Processing 1246 tasks
Rank 64: Processing 1246 tasks
Rank 48: Processing 1246 tasks
Rank 103: Processing 1246 tasks
Rank 72: Processing 1246 tasks
Rank 60: Processing 1246 tasks
Rank 97: Processing 1246 tasks
Rank 78: Processing 1246 tasks
Rank 57: Processing 1246 tasks
Rank 113: Processing 1246 tasks
Rank 73: Processing 1246 tasks
Rank 50: Processing 1246 tasks
Rank 101: Processing 1246 tasks
Rank 85: Processing 1246 tasks
Rank 42: Processing 1246 tasks
Rank 116: Processing 1246 tasks
Rank 93: Processing 1246 tasks
Rank 54: Processing 1246 tasks
Rank 98: Processing 1246 tasks
Rank 66: Processing 1246 tasks
Rank 55: Processing 1246 tasks
Rank 114: Processing 1246 tasks
Rank 71: Processing 1246 tasks
Rank 62: Processing 1246 tasks
Rank 105: Processing 1246 tasks
Rank 68: Processing 1246 tasks
Rank 41: Processing 1246 tasks
Rank 118: Processing 1246 tasks
Rank 70: Processing 1246 tasks
Rank 63: Processing 1246 tasks
Rank 108: Processing 1246 tasks
Rank 91: Processing 1246 tasks
Rank 56: Processing 1246 tasks
Rank 122: Processing 1246 tasks
Rank 81: Processing 1246 tasks
Rank 58: Processing 1246 tasks
Rank 124: Processing 1246 tasks
Rank 69: Processing 1246 tasks
Rank 52: Processing 1246 tasks
Rank 112: Processing 1246 tasks
Rank 67: Processing 1246 tasks
Rank 49: Processing 1246 tasks
Rank 107: Processing 1246 tasks
Rank 79: Processing 1246 tasks
Rank 53: Processing 1246 tasks
Rank 123: Processing 1246 tasks
Rank 95: Processing 1246 tasks
Rank 59: Processing 1246 tasks
Rank 119: Processing 1246 tasks
Rank 83: Processing 1246 tasks
Rank 61: Processing 1246 tasks
Rank 121: Processing 1246 tasks
Rank 75: Processing 1246 tasks
Rank 51: Processing 1246 tasks
Rank 127: Processing 1246 tasks
Rank 77: Processing 1246 tasks
Rank 35: Processing 1246 tasks
Rank 115: Processing 1246 tasks
Rank 125: Processing 1246 tasks
Rank 111: Processing 1246 tasks
Rank 102: Processing 1246 tasks
Rank 117: Processing 1246 tasks
Rank 86: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.2 µs avg, 0.0 µs current
Rank 112: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.2 µs avg, 0.0 µs current
Rank 48: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.3 µs avg, 0.0 µs current
Rank 6: Completed 1/1247 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.3 µs avg, 0.0 µs current
Rank 54: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.3 µs avg, 0.0 µs current
Rank 33: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.3 µs avg, 0.0 µs current
Rank 76: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.3 µs avg, 0.0 µs current
Rank 77: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.3 µs avg, 0.0 µs current
Rank 120: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 47: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 51: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 8: Completed 1/1247 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 13: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 23: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 28: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 55: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 25: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 15: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 24: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 88: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 95: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.4 µs avg, 0.0 µs current
Rank 81: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.5 µs avg, 0.0 µs current
Rank 90: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.5 µs avg, 0.0 µs current
Rank 69: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.5 µs avg, 0.0 µs current
Rank 93: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.5 µs avg, 0.0 µs current
Rank 80: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.5 µs avg, 0.0 µs current
Rank 21: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.5 µs avg, 0.0 µs current
Rank 11: Completed 1/1247 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.5 µs avg, 0.0 µs current
Rank 67: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.5 µs avg, 0.0 µs current
Rank 66: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.5 µs avg, 0.0 µs current
Rank 50: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.5 µs avg, 0.0 µs current
Rank 83: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.5 µs avg, 0.0 µs current
Rank 127: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.5 µs avg, 0.0 µs current
Rank 114: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.5 µs avg, 0.0 µs current
Rank 4: Completed 1/1247 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.5 µs avg, 0.0 µs current
Rank 126: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.5 µs avg, 0.0 µs current
Rank 109: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.5 µs avg, 0.0 µs current
Rank 38: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.6 µs avg, 0.0 µs current
Rank 97: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.6 µs avg, 0.0 µs current
Rank 103: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.6 µs avg, 0.0 µs current
Rank 34: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.6 µs avg, 0.0 µs current
Rank 106: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.6 µs avg, 0.0 µs current
Rank 113: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.6 µs avg, 0.0 µs current
Rank 52: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.6 µs avg, 0.0 µs current
Rank 1: Completed 1/1247 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.6 µs avg, 0.0 µs current
Rank 32: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.6 µs avg, 0.0 µs current
Rank 94: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.6 µs avg, 0.0 µs current
Rank 125: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.6 µs avg, 0.0 µs current
Rank 10: Completed 1/1247 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.6 µs avg, 0.0 µs current
Rank 14: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.6 µs avg, 0.0 µs current
Rank 61: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.6 µs avg, 0.0 µs current
Rank 2: Completed 1/1247 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.7 µs avg, 0.0 µs current
Rank 9: Completed 1/1247 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.7 µs avg, 0.0 µs current
Rank 84: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.7 µs avg, 0.0 µs current
Rank 36: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.7 µs avg, 0.0 µs current
Rank 60: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.7 µs avg, 0.0 µs current
Rank 5: Completed 1/1247 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.7 µs avg, 0.0 µs current
Rank 70: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.7 µs avg, 0.0 µs current
Rank 124: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.7 µs avg, 0.0 µs current
Rank 30: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.7 µs avg, 0.0 µs current
Rank 58: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.7 µs avg, 0.0 µs current
Rank 89: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.7 µs avg, 0.0 µs current
Rank 56: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.7 µs avg, 0.0 µs current
Rank 49: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.7 µs avg, 0.0 µs current
Rank 37: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.7 µs avg, 0.0 µs current
Rank 40: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.8 µs avg, 0.0 µs current
Rank 42: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.8 µs avg, 0.0 µs current
Rank 59: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.8 µs avg, 0.0 µs current
Rank 121: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.8 µs avg, 0.0 µs current
Rank 117: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.8 µs avg, 0.0 µs current
Rank 41: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.8 µs avg, 0.0 µs current
Rank 75: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.8 µs avg, 0.0 µs current
Rank 116: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.8 µs avg, 0.0 µs current
Rank 43: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.8 µs avg, 0.0 µs current
Rank 17: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.8 µs avg, 0.0 µs current
Rank 26: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.8 µs avg, 0.0 µs current
Rank 53: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.8 µs avg, 0.0 µs current
Rank 108: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.8 µs avg, 0.0 µs current
Rank 19: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.9 µs avg, 0.0 µs current
Rank 71: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.9 µs avg, 0.0 µs current
Rank 96: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.9 µs avg, 0.0 µs current
Rank 107: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.9 µs avg, 0.0 µs current
Rank 92: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.9 µs avg, 0.0 µs current
Rank 46: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.9 µs avg, 0.0 µs current
Rank 44: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.9 µs avg, 0.0 µs current
Rank 85: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.9 µs avg, 0.0 µs current
Rank 79: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.9 µs avg, 0.0 µs current
Rank 78: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.9 µs avg, 0.0 µs current
Rank 72: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 160.9 µs avg, 0.0 µs current
Rank 31: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 161.0 µs avg, 0.0 µs current
Rank 119: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 161.0 µs avg, 0.0 µs current
Rank 87: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 161.0 µs avg, 0.0 µs current
Rank 63: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 161.0 µs avg, 0.0 µs current
Rank 118: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 161.0 µs avg, 0.0 µs current
Rank 39: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 161.0 µs avg, 0.0 µs current
Rank 57: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 161.0 µs avg, 0.0 µs current
Rank 73: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 161.0 µs avg, 0.0 µs current
Rank 91: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 161.0 µs avg, 0.0 µs current
Rank 18: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 161.0 µs avg, 0.0 µs current
Rank 64: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 161.1 µs avg, 0.0 µs current
Rank 20: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 161.1 µs avg, 0.0 µs current
Rank 0: Completed 1/1247 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 161.1 µs avg, 0.0 µs current
Rank 29: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 161.1 µs avg, 0.0 µs current
Rank 115: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 161.1 µs avg, 0.0 µs current
Rank 100: Completed 1/1246 tasks | Runtime: 0:01:20 | ETA: 0:00:00 | Time/step: 161.1 µs avg, 0.0 µs current
