Found 5 graph files
Generated 85000 tasks

================================================================================
WALL TIME ESTIMATE
--------------------------------------------------------------------------------
Tasks                : 85,000
Total steps          : 72,650,000,000
Ranks for estimate   : 128
Steps per rank       : 567,578,125
Time per step        : 250 µs (assumed)
Expected runtime     : 1 day, 15:24:54
--------------------------------------------------------------------------------
BREAKDOWN BY MODEL TYPE
--------------------------------------------------------------------------------
POLYNOMIAL      : 72,000 tasks | 72,000,000,000 steps (99.1%) | ~1 day, 15:03:45
QPDC            : 13,000 tasks | 650,000,000 steps (0.9%) | ~0:21:09
================================================================================

Rank 0: Processing 665 tasks
Rank 4: Processing 665 tasks
Rank 8: Processing 664 tasks
Rank 12: Processing 664 tasks
Rank 20: Processing 664 tasks
Rank 16: Processing 664 tasks
Rank 9: Processing 664 tasks
Rank 22: Processing 664 tasks
Rank 17: Processing 664 tasks
Rank 13: Processing 664 tasks
Rank 3: Processing 665 tasks
Rank 2: Processing 665 tasks
Rank 5: Processing 665 tasks
Rank 18: Processing 664 tasks
Rank 19: Processing 664 tasks
Rank 21: Processing 664 tasks
Rank 23: Processing 664 tasks
Rank 14: Processing 664 tasks
Rank 10: Processing 664 tasks
Rank 6: Processing 665 tasks
Rank 7: Processing 665 tasks
Rank 11: Processing 664 tasks
Rank 15: Processing 664 tasks
Rank 1: Processing 665 tasks
Rank 24: Processing 664 tasks
Rank 30: Processing 664 tasks
Rank 25: Processing 664 tasks
Rank 28: Processing 664 tasks
Rank 27: Processing 664 tasks
Rank 26: Processing 664 tasks
Rank 29: Processing 664 tasks
Rank 31: Processing 664 tasks
Rank 112: Processing 664 tasks
Rank 116: Processing 664 tasks
Rank 96: Processing 664 tasks
Rank 98: Processing 664 tasks
Rank 104: Processing 664 tasks
Rank 102: Processing 664 tasks
Rank 108: Processing 664 tasks
Rank 44: Processing 664 tasks
Rank 118: Processing 664 tasks
Rank 50: Processing 664 tasks
Rank 97: Processing 664 tasks
Rank 40: Processing 664 tasks
Rank 113: Processing 664 tasks
Rank 36: Processing 664 tasks
Rank 66: Processing 664 tasks
Rank 106: Processing 664 tasks
Rank 32: Processing 664 tasks
Rank 80: Processing 664 tasks
Rank 105: Processing 664 tasks
Rank 38: Processing 664 tasks
Rank 68: Processing 664 tasks
Rank 103: Processing 664 tasks
Rank 52: Processing 664 tasks
Rank 64: Processing 664 tasks
Rank 110: Processing 664 tasks
Rank 48: Processing 664 tasks
Rank 72: Processing 664 tasks
Rank 101: Processing 664 tasks
Rank 33: Processing 664 tasks
Rank 84: Processing 664 tasks
Rank 115: Processing 664 tasks
Rank 41: Processing 664 tasks
Rank 76: Processing 664 tasks
Rank 99: Processing 664 tasks
Rank 42: Processing 664 tasks
Rank 74: Processing 664 tasks
Rank 119: Processing 664 tasks
Rank 35: Processing 664 tasks
Rank 65: Processing 664 tasks
Rank 117: Processing 664 tasks
Rank 54: Processing 664 tasks
Rank 81: Processing 664 tasks
Rank 107: Processing 664 tasks
Rank 46: Processing 664 tasks
Rank 73: Processing 664 tasks
Rank 109: Processing 664 tasks
Rank 51: Processing 664 tasks
Rank 69: Processing 664 tasks
Rank 100: Processing 664 tasks
Rank 45: Processing 664 tasks
Rank 70: Processing 664 tasks
Rank 114: Processing 664 tasks
Rank 47: Processing 664 tasks
Rank 82: Processing 664 tasks
Rank 111: Processing 664 tasks
Rank 34: Processing 664 tasks
Rank 85: Processing 664 tasks
Rank 124: Processing 664 tasks
Rank 39: Processing 664 tasks
Rank 71: Processing 664 tasks
Rank 120: Processing 664 tasks
Rank 43: Processing 664 tasks
Rank 67: Processing 664 tasks
Rank 122: Processing 664 tasks
Rank 55: Processing 664 tasks
Rank 78: Processing 664 tasks
Rank 126: Processing 664 tasks
Rank 49: Processing 664 tasks
Rank 83: Processing 664 tasks
Rank 121: Processing 664 tasks
Rank 37: Processing 664 tasks
Rank 86: Processing 664 tasks
Rank 123: Processing 664 tasks
Rank 53: Processing 664 tasks
Rank 75: Processing 664 tasks
Rank 127: Processing 664 tasks
Rank 56: Processing 664 tasks
Rank 79: Processing 664 tasks
Rank 125: Processing 664 tasks
Rank 60: Processing 664 tasks
Rank 87: Processing 664 tasks
Rank 58: Processing 664 tasks
Rank 77: Processing 664 tasks
Rank 57: Processing 664 tasks
Rank 88: Processing 664 tasks
Rank 62: Processing 664 tasks
Rank 90: Processing 664 tasks
Rank 61: Processing 664 tasks
Rank 89: Processing 664 tasks
Rank 63: Processing 664 tasks
Rank 92: Processing 664 tasks
Rank 59: Processing 664 tasks
Rank 94: Processing 664 tasks
Rank 91: Processing 664 tasks
Rank 95: Processing 664 tasks
Rank 93: Processing 664 tasks
Rank 31: Completed 1/664 tasks | Runtime: 0:02:19 | ETA: 0:00:00 | Time/step: 139.9 µs avg, 0.0 µs current
Rank 120: Completed 1/664 tasks | Runtime: 0:02:19 | ETA: 0:00:00 | Time/step: 140.0 µs avg, 0.0 µs current
Rank 25: Completed 1/664 tasks | Runtime: 0:02:19 | ETA: 0:00:00 | Time/step: 140.0 µs avg, 0.0 µs current
Rank 90: Completed 1/664 tasks | Runtime: 0:02:20 | ETA: 0:00:00 | Time/step: 140.1 µs avg, 0.0 µs current
Rank 28: Completed 1/664 tasks | Runtime: 0:02:20 | ETA: 0:00:00 | Time/step: 140.2 µs avg, 0.0 µs current
Rank 62: Completed 1/664 tasks | Runtime: 0:02:20 | ETA: 0:00:00 | Time/step: 140.3 µs avg, 0.0 µs current
Rank 126: Completed 1/664 tasks | Runtime: 0:02:20 | ETA: 0:00:00 | Time/step: 140.3 µs avg, 0.0 µs current
Rank 57: Completed 1/664 tasks | Runtime: 0:02:20 | ETA: 0:00:00 | Time/step: 140.4 µs avg, 0.0 µs current
Rank 93: Completed 1/664 tasks | Runtime: 0:02:20 | ETA: 0:00:00 | Time/step: 140.4 µs avg, 0.0 µs current
