Found 5 graph files
Generated 97000 tasks

================================================================================
WALL TIME ESTIMATE
--------------------------------------------------------------------------------
Tasks                : 97,000
Total steps          : 84,650,000,000
Ranks for estimate   : 128
Steps per rank       : 661,328,125
Time per step        : 250 µs (assumed)
Expected runtime     : 1 day, 21:55:32
--------------------------------------------------------------------------------
BREAKDOWN BY MODEL TYPE
--------------------------------------------------------------------------------
POLYNOMIAL      : 84,000 tasks | 84,000,000,000 steps (99.2%) | ~1 day, 21:34:22
QPDC            : 13,000 tasks | 650,000,000 steps (0.8%) | ~0:21:09
================================================================================

Rank 16: Processing 758 tasks
Rank 0: Processing 758 tasks
Rank 28: Processing 758 tasks
Rank 9: Processing 758 tasks
Rank 8: Processing 758 tasks
Rank 20: Processing 758 tasks
Rank 4: Processing 758 tasks
Rank 12: Processing 758 tasks
Rank 5: Processing 758 tasks
Rank 17: Processing 758 tasks
Rank 24: Processing 758 tasks
Rank 18: Processing 758 tasks
Rank 25: Processing 758 tasks
Rank 1: Processing 758 tasks
Rank 6: Processing 758 tasks
Rank 13: Processing 758 tasks
Rank 10: Processing 758 tasks
Rank 3: Processing 758 tasks
Rank 14: Processing 758 tasks
Rank 11: Processing 758 tasks
Rank 29: Processing 758 tasks
Rank 22: Processing 758 tasks
Rank 26: Processing 758 tasks
Rank 2: Processing 758 tasks
Rank 21: Processing 758 tasks
Rank 7: Processing 758 tasks
Rank 19: Processing 758 tasks
Rank 31: Processing 758 tasks
Rank 15: Processing 758 tasks
Rank 27: Processing 758 tasks
Rank 23: Processing 758 tasks
Rank 30: Processing 758 tasks
Rank 64: Processing 758 tasks
Rank 72: Processing 758 tasks
Rank 66: Processing 758 tasks
Rank 68: Processing 758 tasks
Rank 70: Processing 758 tasks
Rank 78: Processing 758 tasks
Rank 74: Processing 758 tasks
Rank 73: Processing 758 tasks
Rank 71: Processing 758 tasks
Rank 76: Processing 758 tasks
Rank 69: Processing 758 tasks
Rank 75: Processing 758 tasks
Rank 67: Processing 758 tasks
Rank 77: Processing 758 tasks
Rank 84: Processing 758 tasks
Rank 80: Processing 758 tasks
Rank 83: Processing 758 tasks
Rank 85: Processing 758 tasks
Rank 82: Processing 758 tasks
Rank 88: Processing 758 tasks
Rank 93: Processing 758 tasks
Rank 92: Processing 758 tasks
Rank 86: Processing 758 tasks
Rank 65: Processing 758 tasks
Rank 89: Processing 758 tasks
Rank 81: Processing 758 tasks
Rank 87: Processing 758 tasks
Rank 91: Processing 758 tasks
Rank 94: Processing 758 tasks
Rank 90: Processing 758 tasks
Rank 44: Processing 758 tasks
Rank 34: Processing 758 tasks
Rank 96: Processing 758 tasks
Rank 32: Processing 758 tasks
Rank 112: Processing 757 tasks
Rank 42: Processing 758 tasks
Rank 36: Processing 758 tasks
Rank 113: Processing 757 tasks
Rank 38: Processing 758 tasks
Rank 102: Processing 758 tasks
Rank 40: Processing 758 tasks
Rank 98: Processing 758 tasks
Rank 35: Processing 758 tasks
Rank 121: Processing 757 tasks
Rank 41: Processing 758 tasks
Rank 97: Processing 758 tasks
Rank 43: Processing 758 tasks
Rank 114: Processing 757 tasks
Rank 39: Processing 758 tasks
Rank 104: Processing 757 tasks
Rank 33: Processing 758 tasks
Rank 100: Processing 758 tasks
Rank 47: Processing 758 tasks
Rank 125: Processing 757 tasks
Rank 58: Processing 758 tasks
Rank 99: Processing 758 tasks
Rank 50: Processing 758 tasks
Rank 116: Processing 757 tasks
Rank 54: Processing 758 tasks
Rank 109: Processing 757 tasks
Rank 49: Processing 758 tasks
Rank 108: Processing 757 tasks
Rank 63: Processing 758 tasks
Rank 101: Processing 758 tasks
Rank 51: Processing 758 tasks
Rank 126: Processing 757 tasks
Rank 110: Processing 757 tasks
Rank 118: Processing 757 tasks
Rank 105: Processing 757 tasks
Rank 46: Processing 758 tasks
Rank 103: Processing 758 tasks
Rank 122: Processing 757 tasks
Rank 111: Processing 757 tasks
Rank 120: Processing 757 tasks
Rank 106: Processing 757 tasks
Rank 115: Processing 757 tasks
Rank 124: Processing 757 tasks
Rank 123: Processing 757 tasks
Rank 119: Processing 757 tasks
Rank 127: Processing 757 tasks
Rank 117: Processing 757 tasks
Rank 107: Processing 757 tasks
Rank 62: Processing 758 tasks
Rank 48: Processing 758 tasks
Rank 55: Processing 758 tasks
Rank 60: Processing 758 tasks
Rank 52: Processing 758 tasks
Rank 59: Processing 758 tasks
Rank 57: Processing 758 tasks
Rank 56: Processing 758 tasks
Rank 53: Processing 758 tasks
Rank 61: Processing 758 tasks
Rank 37: Processing 758 tasks
Rank 45: Processing 758 tasks
Rank 79: Processing 758 tasks
Rank 95: Processing 758 tasks
Rank 0: Completed 1/758 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.6 µs avg, 0.0 µs current
Rank 124: Completed 1/757 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.7 µs avg, 0.0 µs current
Rank 3: Completed 1/758 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.7 µs avg, 0.0 µs current
Rank 122: Completed 1/757 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.8 µs avg, 0.0 µs current
Rank 112: Completed 1/757 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.8 µs avg, 0.0 µs current
Rank 43: Completed 1/758 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.8 µs avg, 0.0 µs current
Rank 19: Completed 1/758 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.8 µs avg, 0.0 µs current
Rank 71: Completed 1/758 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.8 µs avg, 0.0 µs current
Rank 29: Completed 1/758 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.8 µs avg, 0.0 µs current
Rank 27: Completed 1/758 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.8 µs avg, 0.0 µs current
Rank 17: Completed 1/758 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.8 µs avg, 0.0 µs current
Rank 74: Completed 1/758 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.8 µs avg, 0.0 µs current
Rank 107: Completed 1/757 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.9 µs avg, 0.0 µs current
Rank 84: Completed 1/758 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.9 µs avg, 0.0 µs current
Rank 40: Completed 1/758 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.9 µs avg, 0.0 µs current
Rank 96: Completed 1/758 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.9 µs avg, 0.0 µs current
Rank 97: Completed 1/758 tasks | Runtime: 0:02:40 | ETA: 0:00:00 | Time/step: 160.9 µs avg, 0.0 µs current
