Model,Graph,Hyperparameter 1,Hyperparameter 2,Mean relative optimality gap (%),Median relative optimality gap (%),Minimum relative optimality gap (%),Standard deviation on relative optimality gap (%)
CIM,G1,alpha=-50.00,B_num_vertices=175.00,0.10,0.10,0.00,0.06
CIM,G2,alpha=-50.00,B_num_vertices=175.00,0.14,0.14,0.00,0.05
CIM,G3,alpha=-50.00,B_num_vertices=150.00,0.10,0.10,0.01,0.05
CIM,G4,alpha=-50.00,B_num_vertices=175.00,0.14,0.13,0.00,0.06
CIM,G5,alpha=-50.00,B_num_vertices=175.00,0.08,0.04,0.00,0.08
NEC,G1,gamma_factor=8.00,r_target=2.10,0.25,0.24,0.16,0.05
NEC,G2,gamma_factor=7.75,r_target=2.20,0.30,0.22,0.15,0.09
NEC,G3,gamma_factor=8.00,r_target=2.10,0.30,0.31,0.11,0.06
NEC,G4,gamma_factor=8.00,r_target=2.20,0.32,0.32,0.16,0.10
NEC,G5,gamma_factor=7.75,r_target=2.40,0.27,0.22,0.21,0.09
Polynomial,G1,poly_order=3.00,gamma_factor=0.80,1.02,1.03,0.57,0.16
Polynomial,G2,poly_order=3.00,gamma_factor=1.40,1.02,1.01,0.66,0.17
Polynomial,G3,poly_order=3.00,gamma_factor=0.80,0.98,0.99,0.64,0.15
Polynomial,G4,poly_order=3.00,gamma_factor=1.40,1.01,1.03,0.61,0.14
Polynomial,G5,poly_order=3.00,gamma_factor=0.80,1.06,1.07,0.61,0.20
Sigmoid,G1,gamma_factor=5.00,alpha=-50.00,0.67,0.68,0.35,0.12
Sigmoid,G2,gamma_factor=5.50,alpha=-50.00,0.61,0.60,0.44,0.07
Sigmoid,G3,gamma_factor=4.50,alpha=-50.00,0.49,0.36,0.34,0.17
Sigmoid,G4,gamma_factor=5.00,alpha=-40.00,0.53,0.57,0.40,0.09
Sigmoid,G5,gamma_factor=3.50,alpha=-50.00,0.59,0.56,0.56,0.08
q-PDC,G1,gamma_factor=1.00,,1.21,1.23,0.80,0.16
q-PDC,G2,gamma_factor=0.90,,1.22,1.24,0.79,0.16
q-PDC,G3,gamma_factor=1.10,,1.18,1.17,0.75,0.20
q-PDC,G4,gamma_factor=0.80,,1.19,1.18,0.95,0.14
q-PDC,G5,gamma_factor=0.90,,1.24,1.27,0.61,0.20
q-SHIL,G1,,,1.45,1.45,0.99,0.16
q-SHIL,G2,,,1.42,1.42,0.97,0.17
q-SHIL,G3,,,1.44,1.44,1.01,0.19
q-SHIL,G4,,,1.40,1.40,1.07,0.15
q-SHIL,G5,,,1.47,1.48,1.02,0.16
