Model,Graph,param_id,Hyperparameter 1,Hyperparameter 2,Mean rel. gap (%),Median rel. gap (%),Min rel. gap (%),Std rel. gap (%),Success rate (%)
q-SHIL,g05_30.9,"glin(0,10.0)",,,0.92,0.56,0.56,0.73,0.00
q-SHIL,g05_40.0,"glin(0,10.0)",,,0.93,0.93,0.31,0.33,0.00
q-SHIL,g05_40.1,"glin(0,10.0)",,,1.20,1.31,0.33,0.50,0.00
q-SHIL,g05_40.2,"glin(0,10.0)",,,0.76,0.33,0.33,0.51,0.00
q-SHIL,g05_40.3,"glin(0,10.0)",,,1.61,1.58,0.95,0.49,0.00
q-SHIL,g05_40.4,"glin(0,10.0)",,,0.96,0.94,0.00,0.38,4.00
q-SHIL,g05_40.5,"glin(0,10.0)",,,0.87,0.65,0.00,0.50,1.00
q-SHIL,g05_40.6,"glin(0,10.0)",,,0.90,0.98,0.00,0.58,1.00
q-SHIL,g05_40.7,"glin(0,10.0)",,,1.22,0.93,0.93,0.62,0.00
q-SHIL,g05_40.8,"glin(0,10.0)",,,1.45,1.61,0.00,0.59,2.00
q-SHIL,g05_40.9,"glin(0,10.0)",,,1.25,0.96,0.32,0.49,0.00
q-SHIL,g05_5.0,"glin(0,10.0)",,,0.00,0.00,0.00,0.00,100.00
q-SHIL,g05_5.1,"glin(0,10.0)",,,0.00,0.00,0.00,0.00,100.00
q-SHIL,g05_5.2,"glin(0,10.0)",,,0.00,0.00,0.00,0.00,100.00
q-SHIL,g05_5.3,"glin(0,10.0)",,,0.00,0.00,0.00,0.00,100.00
q-SHIL,g05_5.4,"glin(0,10.0)",,,0.00,0.00,0.00,0.00,100.00
q-SHIL,g05_5.5,"glin(0,10.0)",,,0.00,0.00,0.00,0.00,100.00
q-SHIL,g05_5.6,"glin(0,10.0)",,,0.00,0.00,0.00,0.00,100.00
q-SHIL,g05_5.7,"glin(0,10.0)",,,0.00,0.00,0.00,0.00,100.00
q-SHIL,g05_5.8,"glin(0,10.0)",,,0.00,0.00,0.00,0.00,100.00
q-SHIL,g05_5.9,"glin(0,10.0)",,,0.00,0.00,0.00,0.00,100.00
q-SHIL,g05_50.0,"glin(0,10.0)",,,0.97,0.81,0.00,0.56,3.00
q-SHIL,g05_50.1,"glin(0,10.0)",,,0.72,0.42,0.21,0.58,0.00
q-SHIL,g05_50.2,"glin(0,10.0)",,,0.98,1.02,0.00,0.73,3.00
q-SHIL,g05_50.3,"glin(0,10.0)",,,1.40,1.43,0.61,0.59,0.00
q-SHIL,g05_50.4,"glin(0,10.0)",,,0.90,0.63,0.21,0.51,0.00
q-SHIL,g05_50.5,"glin(0,10.0)",,,1.01,0.80,0.20,0.55,0.00
q-SHIL,g05_50.6,"glin(0,10.0)",,,1.30,1.24,0.62,0.30,0.00
q-SHIL,g05_50.7,"glin(0,10.0)",,,1.08,1.24,0.41,0.28,0.00
q-SHIL,g05_50.8,"glin(0,10.0)",,,1.29,1.40,0.20,0.46,0.00
q-SHIL,g05_50.9,"glin(0,10.0)",,,1.01,0.79,0.20,0.41,0.00
