Model,Graph,param_id,Hyperparameter 1,Hyperparameter 2,Mean rel. gap (%),Median rel. gap (%),Min rel. gap (%),Std rel. gap (%),Success rate (%)
CIM,G1,"a-50.0_Bnv225.0_z0.74_blin(0,0.02)",B_num_vertices=225.00,zeta=0.74,0.14,0.14,0.09,0.04,0.00
CIM,G2,"a-50.0_Bnv250.0_z0.73_blin(0,0.02)",B_num_vertices=250.00,zeta=0.73,0.14,0.14,0.09,0.04,0.00
CIM,G3,"a-50.0_Bnv225.0_z0.75_blin(0,0.02)",B_num_vertices=225.00,zeta=0.75,0.12,0.13,0.05,0.06,0.00
CIM,G4,"a-50.0_Bnv250.0_z0.74_blin(0,0.02)",B_num_vertices=250.00,zeta=0.74,0.13,0.13,0.08,0.03,0.00
CIM,G5,"a-50.0_Bnv250.0_z0.71_blin(0,0.02)",B_num_vertices=250.00,zeta=0.71,0.12,0.09,0.07,0.08,0.00
FIXED_AMPLITUDE,G1,"glin(0,10.0)",,,3.69,3.69,3.29,0.18,0.00
FIXED_AMPLITUDE,G2,"glin(0,10.0)",,,3.68,3.68,3.22,0.15,0.00
FIXED_AMPLITUDE,G3,"glin(0,10.0)",,,3.65,3.66,3.25,0.17,0.00
FIXED_AMPLITUDE,G4,"glin(0,10.0)",,,3.66,3.66,3.23,0.19,0.00
FIXED_AMPLITUDE,G5,"glin(0,10.0)",,,3.67,3.68,3.07,0.17,0.00
NEC,G1,ar1.00e-02_rt2.6_ia-mu_max_gpf1.8,gamma_factor=1.80,r_target=2.60,3.32,3.29,3.12,0.11,0.00
NEC,G2,ar1.00e-02_rt2.6_ia-mu_max_gpf0.4,gamma_factor=0.40,r_target=2.60,3.32,3.28,3.28,0.12,0.00
NEC,G3,ar1.00e-02_rt2.0_ia-mu_max_gpf1.2000000000000002,gamma_factor=1.20,r_target=2.00,3.24,3.21,3.17,0.08,0.00
NEC,G4,ar1.00e-02_rt2.2_ia-mu_max_gpf0.6000000000000001,gamma_factor=0.60,r_target=2.20,3.15,3.15,3.15,0.04,0.00
NEC,G5,ar1.00e-02_rt1.8_ia-mu_max_gpf0.8,gamma_factor=0.80,r_target=1.80,3.35,3.32,3.21,0.12,0.00
POLYNOMIAL,G1,"po6_blin(1/mu_max, 1/mu_max + 2)_gf0.2",poly_order=6.00,gamma_factor=0.20,3.69,3.68,3.30,0.15,0.00
POLYNOMIAL,G2,"po7_blin(1/mu_max, 1/mu_max + 2)_gf0.2",poly_order=7.00,gamma_factor=0.20,3.69,3.71,3.14,0.19,0.00
POLYNOMIAL,G3,"po7_blin(1/mu_max, 1/mu_max + 2)_gf0.2",poly_order=7.00,gamma_factor=0.20,3.60,3.61,3.14,0.17,0.00
POLYNOMIAL,G4,"po6_blin(1/mu_max, 1/mu_max + 2)_gf0.2",poly_order=6.00,gamma_factor=0.20,3.60,3.62,3.21,0.17,0.00
POLYNOMIAL,G5,"po7_blin(1/mu_max, 1/mu_max + 2)_gf0.2",poly_order=7.00,gamma_factor=0.20,3.65,3.64,3.28,0.16,0.00
QPDC,G1,po5_bconst(1/(1+ave_abs_J))_gpf0.4,gamma_factor=0.40,,3.72,3.70,3.22,0.20,0.00
QPDC,G2,po5_bconst(1/(1+ave_abs_J))_gpf0.1,gamma_factor=0.10,,3.76,3.74,3.39,0.15,0.00
QPDC,G3,po5_bconst(1/(1+ave_abs_J))_gpf0.2,gamma_factor=0.20,,3.64,3.63,3.15,0.20,0.00
QPDC,G4,po5_bconst(1/(1+ave_abs_J))_gpf0.4,gamma_factor=0.40,,3.64,3.64,3.17,0.22,0.00
QPDC,G5,po5_bconst(1/(1+ave_abs_J))_gpf0.2,gamma_factor=0.20,,3.72,3.73,3.37,0.18,0.00
SIGMOID,G1,"a-10.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf1.2000000000000002",gamma_factor=1.20,alpha=-10.00,3.53,3.43,3.20,0.18,0.00
SIGMOID,G2,"a-50.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf0.8",gamma_factor=0.80,alpha=-50.00,3.59,3.58,3.58,0.05,0.00
SIGMOID,G3,"a-30.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf1.0",gamma_factor=1.00,alpha=-30.00,3.28,3.28,3.28,0.03,0.00
SIGMOID,G4,"a-30.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf1.2000000000000002",gamma_factor=1.20,alpha=-30.00,3.32,3.32,3.32,0.00,0.00
SIGMOID,G5,"a-30.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf0.2",gamma_factor=0.20,alpha=-30.00,3.33,3.33,3.33,0.00,0.00
